Date,GAP,GLD,GM,JPM,META,NVDA,PLTR,SPY
2024-04-26,20.729835510253906,216.6199951171875,45.387264251708984,189.10430908203125,441.6787109375,87.70618438720703,22.520000457763672,501.8724365234375
2024-04-29,20.632741928100586,216.17999267578125,45.58528518676758,188.8990478515625,431.0474853515625,87.72816467285156,22.829999923706055,503.6498107910156
2024-04-30,19.923946380615234,211.8699951171875,44.0901985168457,187.39398193359375,428.6064147949219,86.37361907958984,21.969999313354492,495.6713562011719
2024-05-01,19.253986358642578,213.7899932861328,44.030792236328125,187.51124572753906,437.5935974121094,83.01371765136719,22.1200008392334,494.06182861328125
2024-05-02,20.186105728149414,213.1300048828125,44.22882080078125,187.31578063964844,440.0745544433594,85.78881072998047,22.549999237060547,498.6829833984375
2024-05-03,20.96286392211914,212.9600067138672,44.41694259643555,186.1918487548828,450.317138671875,88.75983428955078,23.329999923706055,504.8643493652344
2024-05-06,21.564855575561523,215.1999969482422,44.614967346191406,187.6480712890625,463.9873046875,92.10972595214844,25.209999084472656,510.0780334472656
2024-05-07,21.46776008605957,214.2100067138672,44.83279037475586,187.40374755859375,466.5379943847656,90.52425384521484,21.399999618530273,510.6408386230469
2024-05-08,21.75904655456543,213.5800018310547,44.60506057739258,191.21531677246094,470.8821716308594,90.38229370117188,21.559999465942383,510.690185546875
2024-05-09,22.419292449951172,216.9499969482422,44.91200256347656,193.0233917236328,473.6919250488281,88.71784973144531,21.139999389648438,513.6326904296875
2024-05-10,22.098878860473633,218.7100067138672,44.76348114013672,194.26463317871094,474.4691162109375,89.84847259521484,20.600000381469727,514.2943725585938
2024-05-13,21.613405227661133,216.25999450683594,44.723880767822266,194.2255401611328,466.3088684082031,90.36930847167969,20.940000534057617,514.3634033203125
2024-05-14,20.894901275634766,218.08999633789062,44.585262298583984,196.9425048828125,470.1349182128906,91.32599639892578,21.440000534057617,516.723388671875
2024-05-15,21.302698135375977,220.88999938964844,45.04072189331055,197.52891540527344,479.7896423339844,94.59890747070312,21.670000076293945,523.1220092773438
