Unnamed: 0,simulation_id,run_date,initial_portfolio_value,num_simulations,returns,volatility,sharpe_ratio,prob_loss,VaR_95,weights
92,sim_514d11ef-aa44-4797-8186-859540645824,2025-06-01,100000,1000,0.3071533443997494,0.387005334376373,0.7678275155524338,0.21,-0.2087480548536477,"{'GAP': 0.0456960824005377, 'GLD': 0.05384794841734895, 'GM': 0.5183283942397664, 'JPM': 0.13116538525373458, 'META': 0.16266527471838116, 'NVDA': 0.04684849406951487, 'PLTR': 0.022834750988697673, 'SPY': 0.01861366991201851}"
93,sim_d2b7fb44-3a2b-42e7-9c62-5627046d766a,2025-06-01,100000,1000,0.4186491062318949,0.4166816685917003,0.9807225444139316,0.119,-0.1238400880879612,"{'GAP': 0.156804256444645, 'GLD': 0.1099995634819187, 'GM': 0.034727069365267184, 'JPM': 0.31310987025232107, 'META': 0.017448350454314705, 'NVDA': 0.16716497152017115, 'PLTR': 0.05067725205301279, 'SPY': 0.15006866642834948}"
94,sim_01939659-380e-4e4a-9631-a686885b9eb0,2025-06-01,100000,1000,0.3714139943490653,0.3817703363360813,0.946679089364618,0.151,-0.1034982247057002,"{'GAP': 0.11420931263304229, 'GLD': 0.1272009556680114, 'GM': 0.02092376978383203, 'JPM': 0.07109315455946644, 'META': 0.22463805403384474, 'NVDA': 0.045752200936150865, 'PLTR': 0.08683046697842606, 'SPY': 0.30935208540722625}"
95,sim_f2cdb0d9-98f0-456a-8541-4b09b9f1036e,2025-06-01,100000,1000,0.5608380779595948,0.6743946411397437,0.8167889309272458,0.133,-0.1593054519895416,"{'GAP': 0.2911236649032, 'GLD': 0.05668077778852801, 'GM': 0.013627558037449668, 'JPM': 0.25978125948443787, 'META': 0.033089562451346706, 'NVDA': 0.08572858303681175, 'PLTR': 0.23744578117165338, 'SPY': 0.022522813126572623}"
96,sim_661d7d02-d23b-43ea-bb8c-8fd2a5bc7728,2025-06-01,100000,1000,0.4816325023875051,0.5102509862043016,0.9243147296900396,0.134,-0.1422676696529029,"{'GAP': 0.004594273809553094, 'GLD': 0.16133729203557848, 'GM': 0.08256486331700719, 'JPM': 0.12716927792962004, 'META': 0.2635138064095472, 'NVDA': 0.1641375955077363, 'PLTR': 0.13739520968934288, 'SPY': 0.059287681301614714}"
97,sim_53b536c5-caf5-4339-904b-2687a080c762,2025-06-01,100000,1000,0.377581579512729,0.4100613432262563,0.8964063196513294,0.161,-0.1377978087465216,"{'GAP': 0.04016068763208561, 'GLD': 0.11632417080864986, 'GM': 0.23708244781917737, 'JPM': 0.1380905595849177, 'META': 0.049449479449529585, 'NVDA': 0.09040945506711036, 'PLTR': 0.10819159332613035, 'SPY': 0.22029160631239922}"
98,sim_3a3f0aed-e7cf-4182-a524-57f915e83794,2025-06-01,100000,1000,0.6879377261868209,0.732335998512491,0.925719516128986,0.109,-0.116540143429287,"{'GAP': 0.06562290745444946, 'GLD': 0.10847618666288132, 'GM': 0.0901962838275856, 'JPM': 0.15831974418567035, 'META': 0.014293294456026392, 'NVDA': 0.4551634898503414, 'PLTR': 0.10653038989519309, 'SPY': 0.00139770366785248}"
99,sim_997c34f6-6248-4541-958d-e0f8d947614a,2025-06-01,100000,1000,0.4346134161655259,0.4978251154218637,0.8529369109987607,0.174,-0.1424554536914695,"{'GAP': 0.09907515467096521, 'GLD': 0.12160390402925557, 'GM': 0.30997441322983915, 'JPM': 0.050926782582786365, 'META': 0.0644065133322547, 'NVDA': 0.287658725321576, 'PLTR': 0.04347565679492495, 'SPY': 0.022878850038398}"
0,sim_2cd9ed23-18b8-437e-9a77-a7dca8f46854,2025-06-01,100000,1000,0.3051194809276675,0.2897605428281833,1.01849436796045,0.121,-0.0788635186759684,"{'GAP': 0.018123768246512618, 'GLD': 0.28541565342446595, 'GM': 0.09626798713952853, 'JPM': 0.24666891554846287, 'META': 0.20534332346511638, 'NVDA': 0.05539472997303674, 'PLTR': 0.032157592505238614, 'SPY': 0.060628029697638246}"
1,sim_d45b9156-cbd1-4138-9f0b-1233f95d538a,2025-06-01,100000,1000,0.3664841178990492,0.3599291248589197,0.9904286518596658,0.129,-0.1038212587017429,"{'GAP': 0.1157470582277329, 'GLD': 0.15958404957004524, 'GM': 0.11440453563272553, 'JPM': 0.2102512471610293, 'META': 0.029020722262146064, 'NVDA': 0.18284477014828263, 'PLTR': 0.009455606595021192, 'SPY': 0.17869201040301727}"
2,sim_1ada587c-4dc5-46a1-b927-351733d9878e,2025-06-01,100000,1000,0.5095172928206612,0.5327748004676706,0.9375768005209408,0.138,-0.1665266894572942,"{'GAP': 0.19981477681175983, 'GLD': 0.01744649321116842, 'GM': 0.27587435618851763, 'JPM': 0.10410015907306563, 'META': 0.062096645248535434, 'NVDA': 0.1719995062311154, 'PLTR': 0.12488230771524245, 'SPY': 0.04378575552059498}"
3,sim_12f91985-5a92-4b2d-8f95-20abfee9a2d5,2025-06-01,100000,1000,0.3472620860806177,0.3110191203034778,1.084377339089421,0.1,-0.071721043914317,"{'GAP': 0.051913704139185585, 'GLD': 0.14953395416315093, 'GM': 0.06195448224541065, 'JPM': 0.3578818021947005, 'META': 0.04212747534654049, 'NVDA': 0.03703823382840491, 'PLTR': 0.07224447640187656, 'SPY': 0.22730587168073033}"
4,sim_3e8bf98e-0ed4-41b9-bf0c-7cd69ca743d4,2025-06-01,100000,1000,0.3566652841350761,0.4305057505161802,0.805251227700028,0.201,-0.1918052047781145,"{'GAP': 0.06787717237165615, 'GLD': 0.05102876760732785, 'GM': 0.44731580854256264, 'JPM': 0.12238167130663084, 'META': 0.03048341715601781, 'NVDA': 0.0063724574438370546, 'PLTR': 0.11072691866236979, 'SPY': 0.16381378690959777}"
5,sim_117b7ad7-2cb4-49e3-a15e-c3cbf01d9b36,2025-06-01,100000,1000,0.4534654108010635,0.4148113818705798,1.069077248558777,0.094,-0.060141026015104,"{'GAP': 0.04018649787315055, 'GLD': 0.24275288215615548, 'GM': 0.02904742292276755, 'JPM': 0.1532075434225016, 'META': 0.06990161212682793, 'NVDA': 0.1497182356351947, 'PLTR': 0.13433925243371644, 'SPY': 0.18084655342968575}"
6,sim_26c0f01a-3775-4035-a7f0-2f66b8d2c095,2025-06-01,100000,1000,0.3821606482198325,0.5122010317741547,0.7265909772394401,0.228,-0.233421080547663,"{'GAP': 0.4321924772710731, 'GLD': 0.04599054362669, 'GM': 0.002764709222612697, 'JPM': 0.15814378489417938, 'META': 0.1644373167381507, 'NVDA': 0.03755781689343783, 'PLTR': 0.04885865119528406, 'SPY': 0.11005470015857217}"
7,sim_922c7c92-4931-4a6a-9fed-8da5fb4b11e8,2025-06-01,100000,1000,0.5267914385943968,0.5562110659252509,0.929128293653633,0.132,-0.1502663948218444,"{'GAP': 0.0017157885992898356, 'GLD': 0.04930424703005058, 'GM': 0.19974015083881924, 'JPM': 0.0710674338836696, 'META': 0.1661853236979851, 'NVDA': 0.26561458048824355, 'PLTR': 0.11097231287116094, 'SPY': 0.13540016259078128}"
8,sim_2177bb7b-080a-4ca6-acb4-f72f66787193,2025-06-01,100000,1000,0.3544627691522769,0.4242573083628175,0.8119194704778033,0.189,-0.1868637578448294,"{'GAP': 0.11458173651063595, 'GLD': 0.011974026363313166, 'GM': 0.05725513530431538, 'JPM': 0.2849902363751292, 'META': 0.517050258899318, 'NVDA': 0.0012173169179222538, 'PLTR': 0.01132649376725374, 'SPY': 0.001604795862112507}"
9,sim_078fb4d4-d0d4-43a4-a523-508477c9a2c9,2025-06-01,100000,1000,0.5317856829326454,0.649049185038842,0.8039231771031642,0.168,-0.1766462223909556,"{'GAP': 0.13868885906881923, 'GLD': 0.04663532340340413, 'GM': 0.06813275748577204, 'JPM': 0.12400792876879843, 'META': 0.2572399980195657, 'NVDA': 0.025437857236770105, 'PLTR': 0.26937081855027994, 'SPY': 0.07048645746659042}"
10,sim_dfc26fa5-3bb6-4261-9d41-970932417926,2025-06-01,100000,1000,0.6030840001978015,0.6113054693528616,0.97019253046378,0.098,-0.0914746039112831,"{'GAP': 0.09798713370870459, 'GLD': 0.05611293180319735, 'GM': 0.053748983855450946, 'JPM': 0.3016847083334686, 'META': 0.12482907920123186, 'NVDA': 0.19167577732982277, 'PLTR': 0.17113086257631424, 'SPY': 0.00283052319180961}"
